                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 3.5787,                  4.425,                 1.7208,                0.00094,                0.02016,                0.00054,                0.00015,                 3.3959,                 4.6016,                  1.706,             0.00070981,             0.00070981,             0.00070981
                     61,                 3.5707,                 4.4293,                 1.7066,                0.00119,                 0.0121,                0.00062,                0.00019,                 3.3617,                 4.2352,                 1.7201,             0.00069331,             0.00069331,             0.00069331
                     62,                 3.5322,                 4.4057,                 1.7137,                0.00059,                 0.0121,                0.00031,                  8e-05,                  3.254,                 4.1287,                 1.7162,              0.0006768,              0.0006768,              0.0006768
                     63,                 3.5312,                  4.445,                 1.7668,                0.00031,                0.04032,                0.00018,                  4e-05,                 3.2491,                 4.1103,                 1.6976,              0.0006603,              0.0006603,              0.0006603
                     64,                 3.5563,                 4.4455,                  1.749,                0.00051,                0.00806,                0.00026,                  7e-05,                 3.2567,                  4.109,                 1.7528,              0.0006438,              0.0006438,              0.0006438
                     65,                 3.5515,                 4.4108,                  1.776,                0.00029,                0.02419,                0.00018,                  5e-05,                 3.2532,                 4.3577,                 1.7196,             0.00062729,             0.00062729,             0.00062729
                     66,                 3.5285,                 4.4459,                 1.7506,                0.00029,                0.02419,                0.00018,                  5e-05,                 3.2841,                   4.15,                 1.7332,             0.00061079,             0.00061079,             0.00061079
                     67,                 3.5105,                 4.4082,                 1.7592,                0.00068,                0.00403,                0.00035,                 0.0001,                 3.6864,                 4.1584,                 1.9352,             0.00059429,             0.00059429,             0.00059429
                     68,                 3.5657,                 4.4048,                  1.749,                0.00031,                0.04839,                0.00026,                  7e-05,                 3.3972,                 4.5264,                 1.7497,             0.00057778,             0.00057778,             0.00057778
                     69,                 3.5915,                 4.4174,                 1.7541,                0.00032,                0.02823,                0.00035,                  8e-05,                 3.3612,                 4.1073,                 1.8035,             0.00056128,             0.00056128,             0.00056128
                     70,                  3.489,                 4.4044,                 1.7443,                0.00032,                0.02823,                0.00035,                  8e-05,                 3.3524,                 4.1046,                  1.761,             0.00054478,             0.00054478,             0.00054478
                     71,                 3.5394,                 4.4301,                 1.7915,                0.00032,                0.02823,                0.00035,                  8e-05,                  3.327,                 4.2169,                 1.7839,             0.00052827,             0.00052827,             0.00052827
                     72,                  3.539,                 4.3995,                 1.7449,                0.00037,                0.02419,                0.00027,                  8e-05,                 3.4007,                 4.3619,                 1.7359,             0.00051177,             0.00051177,             0.00051177
                     73,                 3.5109,                 4.3903,                 1.7285,                0.00059,                 0.0121,                 0.0003,                  9e-05,                  3.377,                 4.3628,                  1.713,             0.00049527,             0.00049527,             0.00049527
                     74,                 3.5002,                 4.3378,                 1.6943,                0.00207,                0.04857,                0.00414,                 0.0009,                 3.5249,                 4.4533,                 1.8773,             0.00047876,             0.00047876,             0.00047876
                     75,                 3.4742,                 4.2763,                 1.7066,                0.00166,                0.07005,                0.00139,                0.00036,                  3.484,                  4.202,                 1.8128,             0.00046226,             0.00046226,             0.00046226
                     76,                 3.5069,                 3.8882,                  1.755,                0.01176,                0.23265,                 0.0342,                0.00993,                  3.457,                 3.6959,                 1.8305,             0.00044576,             0.00044576,             0.00044576
                     77,                 3.5253,                 3.7935,                 1.7456,                 0.5592,                 0.1308,                0.05233,                0.01554,                 3.2269,                 3.5788,                 1.7221,             0.00042925,             0.00042925,             0.00042925
                     78,                 3.4343,                 3.6524,                 1.7681,                0.13107,                0.20771,                0.08249,                0.02509,                 3.2045,                 3.3312,                 1.7329,             0.00041275,             0.00041275,             0.00041275
                     79,                 3.3822,                 3.3873,                 1.7669,                0.16222,                0.15407,                0.12721,                0.03886,                 3.1804,                 3.1001,                 1.7475,             0.00039625,             0.00039625,             0.00039625
