                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 3.8517,                 4.1243,                 1.5338,                0.00142,                0.03404,                0.00075,                0.00019,                 4.0077,                 4.2026,                 1.7765,             0.00054478,             0.00054478,             0.00054478
                     71,                 3.8273,                 4.1637,                 1.5782,                 0.0014,                 0.0392,                0.00076,                0.00024,                   3.92,                 4.2361,                 1.7462,             0.00052827,             0.00052827,             0.00052827
                     72,                 3.8476,                 4.1278,                 1.5482,                0.00092,                0.05936,                0.00049,                0.00021,                 3.8118,                 4.2889,                 1.6392,             0.00051177,             0.00051177,             0.00051177
                     73,                 3.8323,                 4.1255,                 1.5354,                0.00034,                0.05242,                0.00022,                  5e-05,                 3.9865,                 4.1375,                 1.7747,             0.00049527,             0.00049527,             0.00049527
                     74,                 3.8331,                 4.1076,                 1.5038,                0.00278,                0.04323,                0.00142,                 0.0003,                 3.9408,                 4.1602,                 1.7364,             0.00047876,             0.00047876,             0.00047876
                     75,                 3.7748,                 4.1164,                 1.4804,                0.00059,                0.00806,                 0.0003,                0.00012,                 3.9453,                 4.1636,                 1.7982,             0.00046226,             0.00046226,             0.00046226
                     76,                 3.8124,                 4.0864,                 1.5343,                0.00071,                0.01613,                0.00037,                 0.0001,                 4.0138,                 4.2992,                 1.8288,             0.00044576,             0.00044576,             0.00044576
                     77,                 3.8287,                 4.0986,                 1.5092,                0.00091,                 0.0421,                 0.0005,                0.00016,                 3.9294,                 4.2954,                  1.784,             0.00042925,             0.00042925,             0.00042925
                     78,                 3.7459,                 4.1747,                 1.5095,                0.00058,                0.02016,                 0.0003,                  7e-05,                 3.9549,                 4.1624,                 1.7967,             0.00041275,             0.00041275,             0.00041275
                     79,                 3.7683,                 4.1352,                 1.5403,                0.00037,                0.00806,                0.00019,                  8e-05,                 3.7912,                 4.3592,                 1.7344,             0.00039625,             0.00039625,             0.00039625
                     80,                 3.8205,                 4.1124,                  1.515,                0.00037,                0.04435,                0.00022,                  6e-05,                 3.7444,                  4.339,                 1.6128,             0.00037974,             0.00037974,             0.00037974
                     81,                 3.7609,                 4.1389,                 1.5261,                0.00067,                0.06114,                0.00037,                 0.0001,                 3.8034,                 4.1599,                   1.71,             0.00036324,             0.00036324,             0.00036324
                     82,                 3.8112,                 4.1234,                 1.5671,                 0.0035,                0.04614,                0.00184,                0.00025,                 3.9996,                 4.1494,                  1.819,             0.00034674,             0.00034674,             0.00034674
                     83,                 3.7643,                 4.1232,                 1.5544,                0.00241,                0.04726,                0.00124,                0.00026,                 4.0158,                 4.2491,                 1.7945,             0.00033023,             0.00033023,             0.00033023
                     84,                 3.8359,                 4.1296,                 1.5454,                0.00233,                 0.0392,                0.00119,                0.00025,                  3.937,                  4.357,                 1.7677,             0.00031373,             0.00031373,             0.00031373
                     85,                 3.8367,                 4.0818,                 1.5146,                0.00147,                0.04726,                0.00078,                0.00017,                 3.8431,                 4.3216,                 1.7096,             0.00029723,             0.00029723,             0.00029723
                     86,                 3.8088,                 4.1215,                 1.5284,                0.00579,                0.07033,                0.00299,                0.00033,                 3.8478,                 4.2992,                 1.7102,             0.00028072,             0.00028072,             0.00028072
                     87,                 3.7288,                 4.0894,                 1.5129,                0.00083,                0.09068,                0.00047,                0.00011,                 3.7457,                 4.3004,                 1.6666,             0.00026422,             0.00026422,             0.00026422
                     88,                 3.8059,                 4.0902,                 1.5154,                0.00043,                0.05533,                0.00024,                  7e-05,                 3.8089,                 4.3182,                 1.7324,             0.00024772,             0.00024772,             0.00024772
                     89,                 3.7877,                 4.1158,                 1.5164,                0.00033,                0.03629,                0.00019,                  6e-05,                 4.0223,                 4.1796,                 1.8351,             0.00023121,             0.00023121,             0.00023121
                     90,                 3.8358,                 4.0815,                 1.5298,                0.00066,                0.03517,                0.00035,                  6e-05,                 4.0326,                 4.1863,                 1.8194,             0.00021471,             0.00021471,             0.00021471
                     91,                 3.7646,                 4.3883,                 1.6228,                0.00033,                  0.015,                0.00017,                  4e-05,                 4.0105,                 4.2018,                 1.8008,             0.00019821,             0.00019821,             0.00019821
                     92,                  3.718,                 4.2534,                 1.6098,                 0.0003,                0.01613,                0.00017,                  4e-05,                 3.9605,                 4.1987,                 1.7689,              0.0001817,              0.0001817,              0.0001817
                     93,                 3.7176,                 4.2306,                 1.6236,                0.00017,                0.02823,                 0.0001,                  3e-05,                 3.8165,                 4.1671,                 1.6819,              0.0001652,              0.0001652,              0.0001652
                     94,                  3.683,                 4.2258,                 1.5939,                0.00026,                0.03629,                0.00014,                  4e-05,                 3.9048,                 4.1582,                 1.7199,              0.0001487,              0.0001487,              0.0001487
                     95,                 3.6678,                 4.2146,                 1.6011,                0.00028,                0.02016,                0.00015,                  4e-05,                 3.8868,                 4.1753,                  1.729,             0.00013219,             0.00013219,             0.00013219
                     96,                 3.6961,                 4.2161,                 1.6024,                0.00033,                0.04032,                0.00019,                  5e-05,                 3.7833,                 4.2838,                 1.6638,             0.00011569,             0.00011569,             0.00011569
                     97,                 3.7096,                 4.2073,                 1.6349,                0.00033,                0.03226,                0.00018,                  5e-05,                 3.7824,                 4.3137,                 1.6555,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 3.6634,                  4.193,                 1.6263,                0.00036,                0.04435,                 0.0002,                  5e-05,                 3.7589,                 4.3027,                 1.6279,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                  3.669,                 4.2002,                 1.5951,                0.00033,                0.04032,                0.00019,                  5e-05,                 3.7683,                 4.3044,                 1.6448,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 3.6765,                 4.2029,                 1.6325,                0.00035,                0.04435,                 0.0002,                  5e-05,                 3.7758,                 4.3067,                 1.6496,             4.9677e-05,             4.9677e-05,             4.9677e-05
